Name	Locale	City	Outdoor	Dog Friendly?	Rating	Want To Go	Good For	Comment
Kiantis Pizza	Downtown	Santa Cruz	0	0	-1	0		
Soif Restaurant	Downtown	Santa Cruz	0	0	-1	0	Wine	"Food seems odd, OK as a wine bar"
Yan Flower	Downtown	Santa Cruz	0	0	-1	0	Chinese	Terrible
Tramonti Pizza Pasta	Harbor	Santa Cruz	0	0	-1	0		
FireFish Grill	Wharf	Santa Cruz	0	0	-1	0	View	
Ninety Nine Bottles of Beer	Downtown	Santa Cruz	1	1	-1	0		
Surf Bistro & Bakery	Harbor	Santa Cruz	1	1	-1	0		
Blue Line Pizza	Downtown	Campbell	1	1	3	0		
Capers	Home	Campbell	1	1	3	0		
I Gatti	Downtown	Los Gatos	1	1	3	0		
Engfer Pizza Works	Harbor	Santa Cruz	1	1	3	0		
515 Kitchen and Cocktails	Downtown	Santa Cruz	0	0	3	0		
Center Street Grill	Downtown	Santa Cruz	0	0	3	0		
Laili	Downtown	Santa Cruz	0	0	3	0	Fancy	
Il Fornaio	Downtown	Palo Alto	0	0	3	0	Work	
Oswald Restaurant	Downtown	Santa Cruz	0	0	3	0		
Kyoto Palace	Pruneyard	Campbell	0	0	3	0	"Work,Group"	
Los Gatos Bar & Grill	Downtown	Los Gatos	0	0	3	0		
Los Gatos Brewing Company	Downtown	Los Gatos	0	0	3	0		
Maggiano's Little Italy	Santana Row	San Jose	0	0	3	0		
Wine Cellar	Downtown	Los Gatos	0	0	3	0		
Kuleto's	Union Square	San Francisco	0	0	3	0		
Gabriella Cafe	Downtown	Santa Cruz	1	1	3	0	Italian	
Hoffman's Bistro	Downtown	Santa Cruz	1	1	3	0		
Forge in the Forest	Downtown	Carmel	1	1	3	0		
La Pizzeria	Downtown	Campbell	1	1	3	0		
LB Steak	Santana Row	San Jose	1	1	3	0	SO	
Surfrider Cafe	Downtown	Santa Cruz	1	1	3	0		
Walnut Avenue Cafe	Downtown	Santa Cruz	1	1	3	0	Lunch	
Outback	Pruneyard	Campbell	1	1	3	0		
Pasta Pomodoro	Santana Row	San Jose	1	1	3	0		
Rock Bottom	Pruneyard	Campbell	1	1	3	0		
Sonoma Chicken Coop	Downtown	Campbell	1	1	3	0		
Stacks	Downtown	Campbell	1	1	3	0	Breakfast	
Steak Out	Downtown	Mountain View	1	1	3	0		
The Counter	Santana Row	San Jose	1	1	3	0		
The Veggie Grill	Santana Row	San Jose	1	1	3	0		
Village California Bistro	Santana Row	San Jose	1	1	3	0		
West End Eatery	41st	Capitola	1	1	3	0		
Willow Street	Downtown	Los Gatos	1	1	3	0		
Willow Street	Home	Campbell	1	1	3	0		
Cascal	Downtown	Mountain View	0	0	2	0		
Golden Palace	Ocean	Santa Cruz	0	0	2	0	Chinese	
Forbes Mill Steakhouse	Downtown	Los Gatos	0	0	2	0	SO	
Louie's Cajun Kitchen	Downtown	Santa Cruz	0	0	2	0		
Rosie McCann's	Downtown	Santa Cruz	0	0	2	0		
La Strada Ristorante	Downtown	Palo Alto	0	0	2	0		
