id,date,male,experiment
139,2015-05-20 11:45:49.644525-07,t,electric
140,2015-05-20 12:32:03.81317-07,f,electric
141,2015-05-20 14:15:22.32724-07,f,electric
143,2015-05-20 14:19:00.232108-07,t,electric
145,2015-05-20 14:39:40.664678-07,f,electric
147,2015-05-20 14:46:02.001718-07,f,electric
149,2015-05-20 15:51:25.446972-07,f,electric
151,2015-05-20 17:49:27.813546-07,f,electric
1,2015-05-10 21:13:52.133427-07,f,electric
2,2015-05-10 21:13:56.686921-07,t,electric
3,2015-05-10 21:14:27.408739-07,t,electric
4,2015-05-10 21:14:33.65864-07,f,electric
5,2015-05-11 11:05:48.844298-07,f,electric
6,2015-05-11 17:04:32.861797-07,f,electric
7,2015-05-11 17:20:16.820434-07,f,electric
8,2015-05-11 20:00:52.711463-07,f,electric
9,2015-05-12 06:52:25.367264-07,f,electric
10,2015-05-12 06:53:17.529892-07,t,electric
11,2015-05-12 10:21:05.129466-07,f,electric
12,2015-05-12 10:21:05.762361-07,f,electric
13,2015-05-12 12:23:08.480678-07,t,electric
14,2015-05-12 16:53:08.526717-07,t,electric
15,2015-05-12 16:53:08.741016-07,t,electric
16,2015-05-12 16:55:54.536777-07,t,electric
17,2015-05-12 17:01:28.703732-07,t,electric
18,2015-05-12 17:03:07.787901-07,f,electric
19,2015-05-12 17:04:00.120656-07,t,electric
20,2015-05-12 17:18:02.213986-07,t,electric
21,2015-05-12 17:21:10.345429-07,t,electric
22,2015-05-12 17:21:59.478303-07,t,electric
23,2015-05-12 18:14:24.4487-07,t,electric
24,2015-05-12 18:14:56.487428-07,f,electric
25,2015-05-12 21:48:38.905854-07,f,electric
26,2015-05-12 21:48:39.782672-07,f,electric
27,2015-05-13 07:09:19.791898-07,t,electric
28,2015-05-13 07:48:36.880265-07,f,electric
29,2015-05-13 07:49:35.728743-07,t,electric
30,2015-05-13 07:50:43.936215-07,f,electric
31,2015-05-13 14:33:16.460162-07,f,electric
32,2015-05-13 14:33:16.459065-07,f,electric
33,2015-05-13 18:47:59.443546-07,f,electric
34,2015-05-13 18:47:59.456342-07,f,electric
35,2015-05-14 12:27:09.849033-07,f,electric
36,2015-05-14 12:27:09.879246-07,f,electric
37,2015-05-14 16:23:57.827339-07,f,electric
38,2015-05-14 16:23:57.827209-07,f,electric
39,2015-05-14 17:05:10.512576-07,t,electric
40,2015-05-14 17:06:13.966414-07,f,electric
41,2015-05-14 17:09:29.190487-07,f,electric
42,2015-05-14 17:10:53.263205-07,f,electric
43,2015-05-15 12:20:57.226864-07,f,electric
44,2015-05-15 12:20:57.362075-07,f,electric
45,2015-05-15 12:23:13.867634-07,f,electric
46,2015-05-15 16:38:46.545557-07,f,electric
47,2015-05-15 16:42:52.36484-07,f,electric
48,2015-05-15 16:44:01.062094-07,t,electric
49,2015-05-15 16:49:39.353082-07,t,electric
50,2015-05-15 16:50:19.77724-07,f,electric
51,2015-05-15 16:52:06.556839-07,t,electric
52,2015-05-15 17:02:21.309064-07,t,electric
53,2015-05-15 17:08:19.422715-07,t,electric
54,2015-05-15 17:09:18.868789-07,t,electric
55,2015-05-15 17:09:26.48402-07,f,electric
56,2015-05-15 17:09:43.369123-07,t,electric
57,2015-05-15 17:16:14.686994-07,t,electric
58,2015-05-15 19:06:21.176237-07,f,electric
59,2015-05-15 19:06:42.985181-07,f,electric
60,2015-05-15 19:08:42.335749-07,f,electric
61,2015-05-15 19:14:21.745552-07,t,electric
62,2015-05-15 19:15:27.880908-07,f,electric
63,2015-05-15 19:15:36.868898-07,t,electric
64,2015-05-15 19:16:45.661529-07,f,electric
65,2015-05-15 19:17:20.600456-07,f,electric
66,2015-05-15 19:22:58.252667-07,f,electric
67,2015-05-15 19:23:22.187998-07,f,electric
68,2015-05-15 19:23:24.390998-07,f,electric
69,2015-05-16 07:45:37.722448-07,t,electric
70,2015-05-16 07:51:20.727686-07,f,electric
71,2015-05-16 08:16:30.782726-07,f,electric
72,2015-05-16 09:55:23.77431-07,f,electric
73,2015-05-16 11:33:11.599455-07,t,electric
74,2015-05-16 12:01:46.700584-07,f,electric
75,2015-05-16 12:19:25.271564-07,f,electric
76,2015-05-16 12:21:50.546417-07,f,electric
77,2015-05-16 13:07:25.851174-07,t,electric
78,2015-05-16 14:43:35.512307-07,f,electric
79,2015-05-16 15:06:05.341466-07,t,electric
80,2015-05-16 15:06:08.895164-07,f,electric
81,2015-05-16 15:10:02.478058-07,f,electric
82,2015-05-16 15:10:30.961055-07,t,electric
83,2015-05-16 15:21:11.318047-07,f,electric
84,2015-05-16 15:21:15.98675-07,f,electric
85,2015-05-16 15:23:06.889178-07,t,electric
86,2015-05-17 10:48:01.39166-07,t,electric
87,2015-05-17 13:23:50.659846-07,f,electric
88,2015-05-17 13:51:08.226299-07,f,electric
89,2015-05-17 13:55:19.675567-07,f,electric
90,2015-05-17 13:57:49.213923-07,t,electric
91,2015-05-17 14:07:32.643539-07,f,electric
92,2015-05-17 14:09:10.190971-07,t,electric
93,2015-05-17 14:10:41.607932-07,t,electric
94,2015-05-17 14:31:19.943041-07,t,electric
95,2015-05-17 14:41:56.544619-07,f,electric
96,2015-05-17 15:54:07.81321-07,t,electric
97,2015-05-17 15:55:40.147749-07,f,electric
98,2015-05-17 15:56:51.499809-07,t,electric
99,2015-05-17 16:12:48.56395-07,t,electric
100,2015-05-17 16:25:06.923366-07,t,electric
101,2015-05-17 16:25:49.878372-07,f,electric
102,2015-05-17 16:29:47.6263-07,t,electric
103,2015-05-17 16:30:04.3373-07,f,electric
104,2015-05-17 16:39:20.007679-07,f,electric
105,2015-05-17 16:40:23.84139-07,t,electric
106,2015-05-17 16:47:48.566621-07,f,electric
107,2015-05-17 16:54:12.295713-07,f,electric
108,2015-05-17 17:09:22.436599-07,f,electric
109,2015-05-17 17:11:27.036759-07,f,electric
110,2015-05-17 17:16:11.153076-07,f,electric
111,2015-05-17 18:55:54.278024-07,f,electric
112,2015-05-17 18:56:45.694853-07,f,electric
113,2015-05-18 07:28:41.804972-07,t,electric
114,2015-05-18 07:38:12.553074-07,f,electric
115,2015-05-18 10:27:19.666191-07,f,electric
116,2015-05-18 10:27:19.673689-07,f,electric
117,2015-05-18 10:27:20.419752-07,f,electric
118,2015-05-18 10:27:22.719981-07,f,electric
119,2015-05-18 12:31:37.021996-07,f,electric
120,2015-05-18 12:31:37.071553-07,f,electric
121,2015-05-18 12:42:49.070153-07,t,electric
122,2015-05-18 14:48:16.450796-07,f,electric
123,2015-05-18 14:48:32.332374-07,f,electric
124,2015-05-18 15:15:45.873303-07,t,electric
125,2015-05-18 15:16:39.893007-07,t,electric
126,2015-05-18 15:18:14.37972-07,f,electric
127,2015-05-18 15:33:49.581939-07,t,electric
128,2015-05-18 15:52:16.554791-07,f,electric
129,2015-05-18 16:10:37.644385-07,f,electric
130,2015-05-18 17:42:03.204997-07,f,electric
131,2015-05-18 17:42:06.077998-07,t,electric
132,2015-05-18 17:43:15.23578-07,f,electric
133,2015-05-18 17:44:06.899976-07,f,electric
134,2015-05-18 17:53:51.427724-07,f,electric
135,2015-05-18 18:02:54.180109-07,t,electric
136,2015-05-18 18:03:29.832263-07,f,electric
137,2015-05-18 19:25:12.687228-07,f,electric
138,2015-05-18 19:40:25.744537-07,t,electric
142,2015-05-20 14:15:28.307072-07,f,electric
144,2015-05-20 14:38:25.422265-07,f,electric
146,2015-05-20 14:42:15.501969-07,f,electric
148,2015-05-20 15:15:50.039317-07,t,electric
150,2015-05-20 15:51:29.94941-07,t,electric
